"UniqueID","Probability1"
6533,0
6534,0.188
6535,0.158
6536,0.058
6537,0.09
6538,0.976
6539,0.476
6540,0.004
6541,0.004
6542,0.012
6543,0
6544,0.624
6545,0
6546,0.002
6547,0.008
6548,0.86
6549,0.988
6550,0.112
6551,0.052
6552,0.014
6553,0.02
6554,0.186
6555,0.98
6556,0
6557,0
6558,0.43
6559,0
6560,0.968
6561,0.31
6562,0
6563,0
6564,0.004
6565,0
6566,0
6567,0.014
6568,0.97
6569,0.854
6570,0
6571,0.108
6572,0.058
6573,0.94
6574,0.988
6575,0.008
6576,0.584
6577,0
6578,0
6579,0.168
6580,0
6581,0.854
6582,0
6583,0
6584,0.08
6585,0
6586,0.006
6587,0.246
6588,0
6589,0
6590,0.038
6591,0.196
6592,0.028
6593,0
6594,0.238
6595,0
6596,0
6597,0.066
6598,0.002
6599,0
6600,0.742
6601,0.176
6602,0
6603,0.004
6604,0.024
6605,0.214
6606,0.854
6607,0
6608,0.992
6609,0.1
6610,0
6611,0
6612,0.162
6613,0.004
6614,0.42
6615,0
6616,0.046
6617,0.046
6618,0.16
6619,0.256
6620,0.012
6621,0
6622,0.038
6623,0.094
6624,0.09
6625,0.026
6626,0
6627,0
6628,0.004
6629,0
6630,0
6631,0.02
6632,0.002
6633,0
6634,0.074
6635,0.092
6636,0.024
6637,0.024
6638,0.014
6639,0.012
6640,0.224
6641,0.028
6642,0.066
6643,0.002
6644,0.078
6645,0.252
6646,0.094
6647,0.002
6648,0
6649,0.112
6650,0.932
6651,0
6652,0.002
6653,0.012
6654,0.006
6655,0.248
6656,0
6657,0
6658,0.006
6659,0
6660,0.272
6661,0
6662,0
6663,0
6664,0.032
6665,0.01
6666,0.002
6667,0.006
6668,0.032
6669,0
6670,0.738
6671,0.714
6672,0
6673,0.046
6674,0.034
6675,0
6676,0
6677,0
6678,0.002
6679,0.002
6680,0.862
6681,0.004
6682,0
6683,0.02
6684,0.09
6685,0
6686,0
6687,0.002
6688,0.926
6689,0
6690,0.002
6691,0.006
6692,0.142
6693,0
6694,0.87
6695,0.082
6696,0
6697,0.774
6698,0
6699,0.214
6700,0
6701,0.024
6702,0
6703,0.134
6704,0.086
6705,0.174
6706,0
6707,0.066
6708,0.086
6709,0
6710,0
6711,0.014
6712,0.002
6713,0.114
6714,0.1
6715,0.008
6716,0
6717,0.002
6718,0.028
6719,0.002
6720,0.638
6721,0
6722,0
6723,0.08
6724,0.022
6725,0.09
6726,0.088
6727,0.186
6728,0.746
6729,0
6730,0
6731,0.242
6732,0
6733,0
6734,0.002
6735,0.042
6736,0.002
6737,0
6738,0.172
6739,0.208
6740,0
6741,0.03
6742,0
6743,0.016
6744,0.036
6745,0.22
6746,0.002
6747,0.004
6748,0.034
6749,0.08
6750,0.828
6751,0
6752,0.32
6753,0.29
6754,0.02
6755,0
6756,0.01
6757,0.144
6758,0.52
6759,0
6760,0.204
6761,0
6762,0.024
6763,0
6764,0.764
6765,0.008
6766,0
6767,0
6768,0.004
6769,0
6770,0.096
6771,0
6772,0.026
6773,0
6774,0
6775,0.748
6776,0.022
6777,0
6778,0.002
6779,0.018
6780,0.93
6781,0.122
6782,0.01
6783,0.002
6784,0
6785,0.026
6786,0.08
6787,0.974
6788,0.188
6789,0
6790,0.034
6791,0.002
6792,0
6793,0.034
6794,0
6795,0.126
6796,0
6797,0.054
6798,0.204
6799,0.018
6800,0.028
6801,0.022
6802,0.006
6803,0
6804,0
6805,0.008
6806,0
6807,0.99
6808,0.108
6809,0
6810,0.946
6811,0.018
6812,0.078
6813,0
6814,0.004
6815,0.058
6816,0.016
6817,0.016
6818,0.018
6819,0.984
6820,0.056
